sample,trait,value,label
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0025402309069894,0.19
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0038103463604841,0.2
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0063505772674736,0.21
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0101609236279577,0.22
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0063505772674736,0.23
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0025402309069894,0.24
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0050804618139788,0.25
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0063505772674736,0.26
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0076206927209683,0.27
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0152413854419366,0.28
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0101609236279577,0.29
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0127011545349472,0.3
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0165115008954313,0.31
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0203218472559155,0.32
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0114310390814525,0.33
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0127011545349472,0.34
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0152413854419366,0.35
Floor-Pot_1_1,yii_hist_Fv/Fm,0.022862078162905,0.36
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0381034636048416,0.37
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0304827708838733,0.38
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0241321936163997,0.39
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0215919627094102,0.4
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0342931172443575,0.41
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0215919627094102,0.42
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0342931172443575,0.43
Floor-Pot_1_1,yii_hist_Fv/Fm,0.04572415632581,0.44
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0431839254188205,0.45
Floor-Pot_1_1,yii_hist_Fv/Fm,0.054614964500273,0.46
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0469942717793047,0.47
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0444540408723152,0.48
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0673161190352203,0.49
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0406436945118311,0.5
Floor-Pot_1_1,yii_hist_Fv/Fm,0.068586234488715,0.51
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0749368117561886,0.52
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0673161190352203,0.53
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0762069272096833,0.54
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0863678508376411,0.55
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0863678508376411,0.56
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0850977353841464,0.57
Floor-Pot_1_1,yii_hist_Fv/Fm,0.100339120826083,0.58
Floor-Pot_1_1,yii_hist_Fv/Fm,0.100339120826083,0.59
Floor-Pot_1_1,yii_hist_Fv/Fm,0.1130402753610303,0.6
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0990690053725883,0.61
Floor-Pot_1_1,yii_hist_Fv/Fm,0.160034547140335,0.62
Floor-Pot_1_1,yii_hist_Fv/Fm,0.1638448935008192,0.63
Floor-Pot_1_1,yii_hist_Fv/Fm,0.2311610125360395,0.64
Floor-Pot_1_1,yii_hist_Fv/Fm,0.2603736679664181,0.65
Floor-Pot_1_1,yii_hist_Fv/Fm,0.3302300179086279,0.66
Floor-Pot_1_1,yii_hist_Fv/Fm,0.4610519096185843,0.67
Floor-Pot_1_1,yii_hist_Fv/Fm,0.7036439612360764,0.68
