sample,trait,value,label
Floor-Pot_1_1,yii_hist_Fv/Fm,0.08636785083764113,0.55
Floor-Pot_1_1,yii_hist_Fv/Fm,0.08636785083764113,0.56
Floor-Pot_1_1,yii_hist_Fv/Fm,0.08509773538414642,0.57
Floor-Pot_1_1,yii_hist_Fv/Fm,0.10033912082608308,0.58
Floor-Pot_1_1,yii_hist_Fv/Fm,0.10033912082608308,0.59
Floor-Pot_1_1,yii_hist_Fv/Fm,0.11304027536103033,0.6
Floor-Pot_1_1,yii_hist_Fv/Fm,0.09906900537258838,0.61
Floor-Pot_1_1,yii_hist_Fv/Fm,0.16003454714033505,0.62
Floor-Pot_1_1,yii_hist_Fv/Fm,0.1638448935008192,0.63
Floor-Pot_1_1,yii_hist_Fv/Fm,0.23116101253603952,0.64
Floor-Pot_1_1,yii_hist_Fv/Fm,0.26037366796641814,0.65
Floor-Pot_1_1,yii_hist_Fv/Fm,0.3302300179086279,0.66
Floor-Pot_1_1,yii_hist_Fv/Fm,0.46105190961858433,0.67
Floor-Pot_1_1,yii_hist_Fv/Fm,0.7036439612360764,0.68
Floor-Pot_1_1,yii_hist_Fv/Fm,0.861138277469422,0.69
Floor-Pot_1_1,yii_hist_Fv/Fm,1.2396326826108492,0.7
Floor-Pot_1_1,yii_hist_Fv/Fm,1.7375179403807808,0.71
Floor-Pot_1_1,yii_hist_Fv/Fm,2.2544549299531327,0.72
Floor-Pot_1_1,yii_hist_Fv/Fm,2.880621848526031,0.73
Floor-Pot_1_1,yii_hist_Fv/Fm,3.7417601259954534,0.74
Floor-Pot_1_1,yii_hist_Fv/Fm,4.715938678825905,0.75
Floor-Pot_1_1,yii_hist_Fv/Fm,5.61009995808619,0.76
Floor-Pot_1_1,yii_hist_Fv/Fm,6.607140589079548,0.77
Floor-Pot_1_1,yii_hist_Fv/Fm,7.357778822094928,0.78
Floor-Pot_1_1,yii_hist_Fv/Fm,7.85312384895787,0.79
Floor-Pot_1_1,yii_hist_Fv/Fm,8.213836637750372,0.8
Floor-Pot_1_1,yii_hist_Fv/Fm,7.983945740667826,0.81
Floor-Pot_1_1,yii_hist_Fv/Fm,7.668957108201136,0.82
Floor-Pot_1_1,yii_hist_Fv/Fm,6.593169319091105,0.83
Floor-Pot_1_1,yii_hist_Fv/Fm,5.606289611725706,0.84
Floor-Pot_1_1,yii_hist_Fv/Fm,4.638461636162727,0.85
Floor-Pot_1_1,yii_hist_Fv/Fm,3.407719761726341,0.86
Floor-Pot_1_1,yii_hist_Fv/Fm,2.5021274433846035,0.87
Floor-Pot_1_1,yii_hist_Fv/Fm,1.7413282867412647,0.88
Floor-Pot_1_1,yii_hist_Fv/Fm,1.1189717145288507,0.89
Floor-Pot_1_1,yii_hist_Fv/Fm,0.6782416521661819,0.9
Floor-Pot_1_1,yii_hist_Fv/Fm,0.3810346360484168,0.91
Floor-Pot_1_1,yii_hist_Fv/Fm,0.26164378341991285,0.92
Floor-Pot_1_1,yii_hist_Fv/Fm,0.13209200716345115,0.93
Floor-Pot_1_1,yii_hist_Fv/Fm,0.06858623448871502,0.94
Floor-Pot_1_1,yii_hist_Fv/Fm,0.03810346360484168,0.95
Floor-Pot_1_1,yii_hist_Fv/Fm,0.030482770883873345,0.96
Floor-Pot_1_1,yii_hist_Fv/Fm,0.01397126998844195,0.97
Floor-Pot_1_1,yii_hist_Fv/Fm,0.006350577267473613,0.98
Floor-Pot_1_1,yii_hist_Fv/Fm,0.007620692720968336,0.99
Floor-Pot_1_1,yii_mean_Fq'/Fm',0.29605690816588487,none
Floor-Pot_1_1,yii_median_Fq'/Fm',0.297847585805701,none
Floor-Pot_1_1,yii_max_Fq'/Fm',0.82839248434238,none
Floor-Pot_1_1,yii_mode_Fq'/Fm',0.32,none
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.5348966001647913,0.0
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.6186430375643294,0.01
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.6834789890994557,0.02
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.7996434022665567,0.03
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.8063971472181325,0.04
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.8212553861115989,0.05
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.9549795361527967,0.06
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.9698377750462632,0.07
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.0995096781165157,0.08
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.1278754069131334,0.09
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.218375589264247,0.1
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.3520997393054448,0.11
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.4412491726662435,0.12
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.4939283832885335,0.13
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.687085488903597,0.14
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.6938392338551729,0.15
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.810003647022274,0.16
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.9950562586954466,0.17
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.958586035956938,0.18
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.0990639309497117,0.19
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.162549133494523,0.2
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.3881242148771493,0.21
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.397579457809355,0.22
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.508340875015196,0.23
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.5177961179474018,0.24
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.582632069482528,0.25
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.6974457336593143,0.26
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.716356219523726,0.27
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.798751907932949,0.28
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.702848729620575,0.29
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.6839382437561627,0.3
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.75687868923318,0.31
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.813610146826415,0.32
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.6987964826496293,0.33
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.7150054705334106,0.34
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.70690097659152,0.35
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.6055948023178854,0.36
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.5556170896762254,0.37
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.415139194683452,0.38
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.467818405305742,0.39
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.18551186632988,0.4
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.0139667445598586,0.41
Floor-Pot_1_1,yii_hist_Fq'/Fm',2.040981724366161,0.42
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.800548404090068,0.43
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.778936420245026,0.44
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.6114435454459497,0.45
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.3899207110342684,0.46
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.2548458120027557,0.47
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.1292261559034484,0.48
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.0765469452811585,0.49
Floor-Pot_1_1,yii_hist_Fq'/Fm',1.0441289695135954,0.5
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.8307106290438049,0.51
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.7712776734699391,0.52
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.6780759931381951,0.53
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.5051801223778585,0.54
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.5227398592519552,0.55
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.4092769440654843,0.56
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.3457917415206732,0.57
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.27960504099523187,0.58
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.26069455513082,0.59
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.2404333202760931,0.6
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.1364256480218281,0.61
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.13372415004119784,0.62
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.09995542528331959,0.63
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.08104493941890778,0.64
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.08239568840922291,0.65
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.04052246970945389,0.66
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.04322396769008415,0.67
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.035119473748193374,0.68
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.017559736874096687,0.69
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.021611983845042076,0.7
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.025664230815987465,0.71
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.016208987883781556,0.72
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.010805991922521038,0.73
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.006753744951575649,0.74
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.005402995961260519,0.75
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.004052246970945389,0.76
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0027014979806302595,0.77
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.005402995961260519,0.78
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0013507489903151297,0.79
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0013507489903151297,0.8
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.81
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0013507489903151297,0.82
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.83
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.84
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.85
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.86
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.87
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.88
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.89
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.9
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.91
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.92
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.93
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.94
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.95
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.96
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.97
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.98
Floor-Pot_1_1,yii_hist_Fq'/Fm',0.0,0.99
Floor-Pot_1_1,npq_mean_NPQ,0.9450862950652644,none
Floor-Pot_1_1,npq_median_NPQ,0.9099705511148506,none
Floor-Pot_1_1,npq_max_NPQ,5.0625,none
Floor-Pot_1_1,npq_mode_NPQ,0.8,none
Floor-Pot_1_1,npq_hist_NPQ,0.11437430898854986,0.0
Floor-Pot_1_1,npq_hist_NPQ,0.30626898295822796,0.1
Floor-Pot_1_1,npq_hist_NPQ,0.8349324556164139,0.2
Floor-Pot_1_1,npq_hist_NPQ,1.9430924271499193,0.3
Floor-Pot_1_1,npq_hist_NPQ,3.934476229206115,0.4
Floor-Pot_1_1,npq_hist_NPQ,7.102644588188946,0.5
Floor-Pot_1_1,npq_hist_NPQ,9.883211122266136,0.6
Floor-Pot_1_1,npq_hist_NPQ,11.872053273011476,0.7
Floor-Pot_1_1,npq_hist_NPQ,12.741298021324454,0.8
Floor-Pot_1_1,npq_hist_NPQ,12.019469049041161,0.9
Floor-Pot_1_1,npq_hist_NPQ,10.48939495990545,1.0
Floor-Pot_1_1,npq_hist_NPQ,8.358220335752138,1.1
Floor-Pot_1_1,npq_hist_NPQ,6.257545527329106,1.2
Floor-Pot_1_1,npq_hist_NPQ,4.6512218988676945,1.3
Floor-Pot_1_1,npq_hist_NPQ,3.213918082578251,1.4
Floor-Pot_1_1,npq_hist_NPQ,2.1972575582355858,1.5
Floor-Pot_1_1,npq_hist_NPQ,1.42459555973516,1.6
Floor-Pot_1_1,npq_hist_NPQ,0.9149944719083989,1.7
Floor-Pot_1_1,npq_hist_NPQ,0.5883922784633175,1.8
Floor-Pot_1_1,npq_hist_NPQ,0.3952267788382112,1.9
Floor-Pot_1_1,npq_hist_NPQ,0.25289430543023805,2.0
Floor-Pot_1_1,npq_hist_NPQ,0.1715614634828248,2.1
Floor-Pot_1_1,npq_hist_NPQ,0.11056183202226486,2.2
Floor-Pot_1_1,npq_hist_NPQ,0.07116623670398659,2.3
Floor-Pot_1_1,npq_hist_NPQ,0.043208072284563276,2.4
Floor-Pot_1_1,npq_hist_NPQ,0.025416513108566633,2.5
Floor-Pot_1_1,npq_hist_NPQ,0.021604036142281638,2.6
Floor-Pot_1_1,npq_hist_NPQ,0.02287486179770997,2.7
Floor-Pot_1_1,npq_hist_NPQ,0.0038124769662849956,2.8
Floor-Pot_1_1,npq_hist_NPQ,0.011437430898854985,2.9
Floor-Pot_1_1,npq_hist_NPQ,0.005083302621713327,3.0
Floor-Pot_1_1,npq_hist_NPQ,0.0012708256554283318,3.1
Floor-Pot_1_1,npq_hist_NPQ,0.0,3.2
Floor-Pot_1_1,npq_hist_NPQ,0.005083302621713327,3.3
Floor-Pot_1_1,npq_hist_NPQ,0.0025416513108566636,3.4
Floor-Pot_1_1,npq_hist_NPQ,0.0,3.5
Floor-Pot_1_1,npq_hist_NPQ,0.0025416513108566636,3.6
Floor-Pot_1_1,npq_hist_NPQ,0.0012708256554283318,3.7
Floor-Pot_1_1,npq_hist_NPQ,0.0012708256554283318,3.8
Floor-Pot_1_1,npq_hist_NPQ,0.0,3.9
Floor-Pot_1_1,npq_hist_NPQ,0.0012708256554283318,4.0
Floor-Pot_1_1,npq_hist_NPQ,0.0,4.1
Floor-Pot_1_1,npq_hist_NPQ,0.0012708256554283318,4.2
Floor-Pot_1_1,npq_hist_NPQ,0.0,4.3
Floor-Pot_1_1,npq_hist_NPQ,0.0,4.4
